order_placement_date,requested_delivery_date,order_delivery_date,order_quantity,quantity_unit,product_name,material_id,country,origin_region,warehouse_names,company_id,order_id
2017-11-17,2017-11-22,2017-11-22,625.0,KG,Citric Acid,E235421,United Kingdom,EU,Swansea,CONN02067,u777ldm1vl7uo4g4iq9e
2019-12-27,2020-01-15,2020-01-15,1.0,MT,Sugar,E131096,United Kingdom,EU,Bristol,CODW72810,nz9jn7k98xvi673kllzc
2019-04-16,2019-04-23,2019-04-23,0.1,MT,Sugar,E131096,United Kingdom,EU,Swansea,COKH45544,uh1i8yatye737fentd7k
2017-10-11,2017-10-25,2017-10-25,547.65,KG,Gelatin,E164938,The Netherlands,APAC,Moerdijk,CORQ92002,fn8k6p62j4xybrxfx3at
2019-04-30,2019-05-03,2019-05-03,1000.0,KG,Citric Acid,E235421,United Kingdom,EU,Swansea,COBC26731,253iqquolgqe6xb1z337
2018-04-04,2018-04-17,2018-04-17,50.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COTW22732,c7nxxbaf4gellx8eak8y
2017-05-31,2017-06-02,2017-06-02,0.57575,MT,Gelatin,E164938,The Netherlands,APAC,Enschede,COBX47331,e71twd96hhwmf1gzvg04
2022-08-05,2022-08-15,2022-08-15,150.0,KG,Citric Acid,E235421,United Kingdom,EU,Bristol,COPT05743,2mz8m6xhigx1pzgsvanr
2017-10-30,2017-11-06,2017-11-06,1100000.0,G,Citric Acid,E235421,United Kingdom,EU,Swansea,COXG30181,y632iips8qdb9bgv2esf
2021-08-06,2021-08-11,2021-08-11,250.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COAM31206,4ndrfdx89i8ywgd4x4pz
2021-11-01,2021-11-03,2021-11-03,300.0,KG,Sugar,E131096,United Kingdom,EU,Bristol,COWP95421,j42rl1eh8hyf87sw1k9m
2019-02-26,2019-03-07,2019-03-07,575.75,KG,Gelatin,E164938,The Netherlands,APAC,Rotterdam,COHV48906,94uzxy4g8on3w9hx6i62
2018-01-11,2018-01-16,2018-01-16,50.0,KG,Sugar,E131096,United Kingdom,EU,Bristol,COVO98511,r2cxtjyrdirl481xlaxh
2019-09-18,2019-10-15,2019-10-15,5.0,MT,Citric Acid,E235421,United Kingdom,EU,Swansea,COCH74792,noc2xi3rnc02blu27xnp
2017-02-23,2017-02-27,2017-02-27,58.28,KG,Gelatin,E164938,The Netherlands,APAC,Enschede,COMJ03787,zcu7mpa7dzvhltmgraej
2018-03-05,2018-04-04,2018-04-04,24000.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COWX51670,pfawxd0dl7u1p8otxous
2017-12-05,2017-12-11,2017-12-11,100.0,KG,Citric Acid,E235421,United Kingdom,EU,Swansea,COZW61427,hfrrcv1exyb8z8trtm47
2020-06-04,2020-06-09,2020-06-09,25.0,KG,Sugar,E131096,United Kingdom,EU,Swansea,COZJ71969,7y6zled1lg8y2wgebec4
2017-02-23,2017-02-24,2017-02-24,575.75,KG,Gelatin,E164938,The Netherlands,APAC,Moerdijk,COWR84952,1rn9uq7rzapuolxpouv7
2018-03-16,2018-03-19,2018-03-21,1000.0,KG,Citric Acid,E235421,The Netherlands,EU,Rotterdam,CORX34930,5d3nmyb4bomzqb09uw8p
2019-05-02,2019-05-06,2019-05-06,111.86,KG,Gelatin,E164938,The Netherlands,APAC,Moerdijk,CONI64497,dwxezihzvzgmffohk94w
2022-10-10,2022-10-13,2022-10-13,25.0,KG,Sugar,E131096,United Kingdom,EU,Lutterworth,COKH45544,6wuumo7opklj670ljc6w
2019-10-10,2019-10-14,2019-10-14,1151.5,KG,Gelatin,E164938,The Netherlands,APAC,Enschede,COHZ46419,o7v1iz4jqi55jsyxufbl
2018-02-22,2018-03-26,2018-03-26,270.0,KG,Gelatin,E164938,The Netherlands,APAC,Rotterdam,COQR32700,pvr79yt1s4jida6ueyer
2022-03-18,2022-03-23,2022-03-23,1000.0,KG,Sugar,E131096,United Kingdom,EU,Swansea,COHP03460,bl6sgw2nrv4eibkpk7fv
2019-06-13,2019-06-19,2019-06-19,75.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COGJ28671,u3f0mee0q45tvguw48tp
2019-05-14,2019-05-27,2019-05-27,10000.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COCH91502,37v7jmkjlnditn5kg3fy
2020-03-10,2020-05-06,2020-05-06,12400.0,KG,Gelatin,E164938,The Netherlands,APAC,Rotterdam,COMJ86490,e4hqgoxaiqusy2o33b29
2020-07-08,2020-08-20,2020-08-20,100.0,KG,Sugar,E131096,United Kingdom,EU,Swansea,COGH35635,xz6uk18f2dxr6cj9k4ci
2017-06-19,2017-06-26,2017-06-26,1151.5,KG,Gelatin,E164938,The Netherlands,APAC,Enschede,CORF15305,248f3vkog1011he9wiee
2020-07-13,2020-07-17,2020-07-17,300.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COQO38414,o9h5ihjqcyypq7a4frv1
2019-01-07,2019-01-10,2019-01-10,400.0,KG,Citric Acid,E235421,United Kingdom,EU,Swansea,COIY74444,l6cknc7giu13gbj72btq
2022-06-10,2023-01-13,2023-01-13,10000.0,KG,Citric Acid,E235421,The Netherlands,EU,Moerdijk,COAO94763,82327aqff2k5c3z6j5q1
2021-02-25,2021-03-05,2021-03-05,1146.8,KG,Gelatin,E164938,The Netherlands,APAC,Rotterdam,COGN15527,d7xyljd2v57bmtt7fywm
2021-01-14,2021-01-19,2021-01-19,4.7,MT,Gelatin,E164938,The Netherlands,APAC,Moerdijk,CORF15305,5cfv2vyn1kjs08rwq1cg
2019-04-30,2019-04-30,2019-04-30,537.801,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COKK08840,edbt8bz9t30b69c45ry2
2017-06-30,2017-07-07,2017-07-07,500.0,KG,Citric Acid,E235421,United Kingdom,EU,Swansea,COBV63024,7vmvwjmv06ddg680iuga
2022-05-06,2022-06-02,2022-06-02,8000000.0,G,Citric Acid,E235421,The Netherlands,EU,Moerdijk,COIB76702,4fegyyj5n860ath9kp6a
2017-11-16,2017-12-01,2017-12-01,25.0,KG,Citric Acid,E235421,United Kingdom,EU,Bristol,CODT42683,sssuljaf4wnsmw5gyrw6
2017-12-13,2018-01-03,2018-01-02,3000.0,KG,Citric Acid,E235421,The Netherlands,EU,Enschede,COIZ04610,owh8vlig7r2fmfp5md3e
2022-09-16,2022-09-27,2022-09-27,5000.0,KG,Citric Acid,E235421,The Netherlands,EU,Rotterdam,COPD02484,xu7fkc781hfl1zopqzfo
2022-05-23,2022-05-25,2022-05-25,1.1468,MT,Gelatin,E164938,The Netherlands,APAC,Rotterdam,CORF15305,30x8bnmjsxtdhdx1bjt4
2018-01-08,2018-01-17,2018-01-17,500.0,KG,Citric Acid,E235421,United Kingdom,EU,Bristol,COBD49885,zf3d4d32nkx5zt5tt9ka
2019-07-17,2019-07-19,2019-07-19,4700.0,KG,Gelatin,E164938,The Netherlands,APAC,Moerdijk,CORF15305,1dluclle4a2g76rwr3s1
2017-10-06,2017-10-17,2017-10-17,2.0,MT,Citric Acid,E235421,The Netherlands,EU,Moerdijk,COPN12688,8wk501epekgvzpfcglck
2019-01-08,2019-01-10,2019-01-10,575.75,KG,Gelatin,E164938,The Netherlands,APAC,Moerdijk,COBX47331,wt2e077u55d5q3ov9jyd
2022-06-30,2022-06-30,2022-06-30,50.0,KG,Citric Acid,E235421,United Kingdom,EU,Bristol,COKK08840,fzdtc5paygaa70tgo5aw
2019-07-29,2019-08-15,2019-08-12,1000.0,KG,Sugar,E131096,United Kingdom,EU,Bristol,COVR86461,lgitiz7tfp3g21cqtp31
2020-08-18,2020-09-11,2020-09-11,4.0,MT,Citric Acid,E235421,United Kingdom,EU,Bristol,COVR17542,74gu65s6y5h3o0sw5861
2021-08-19,2021-08-24,2021-08-24,571.0814899999999,KG,Gelatin,E164938,The Netherlands,APAC,Rotterdam,CORY46361,1gqit8d9gx2hivdts8mg
2019-02-11,2019-02-14,2019-02-14,150.0,KG,Sugar,E131096,United Kingdom,EU,Bristol,COKL04503,00crz17a8rnxpwnua6td
2017-06-26,2017-06-28,2017-06-28,2000.0,KG,Sugar,E131096,United Kingdom,EU,Bristol,COQX60994,xj1wqqoqsd8p4xtkxgy9
2022-06-29,2022-07-12,2022-07-12,24000.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COSH93853,3fon8ong5udlhwv6flvy
2017-02-15,2017-02-21,2017-02-21,0.1,MT,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COIU94847,wapke5ajr1ov9cpwrutv
2020-10-28,2020-11-03,2020-11-03,575.75,KG,Gelatin,E164938,The Netherlands,APAC,Moerdijk,CORY46361,lyjmwuocs224eqkq7mou
2018-07-12,2018-07-16,2018-07-18,0.2,MT,Citric Acid,E235421,The Netherlands,EU,Moerdijk,COSK06373,3dn1tjl2fx35lg49ffqo
2020-12-02,2020-12-09,2020-12-10,375000.0,G,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COQO38414,kvc4gtjs1a5ugxbrytiv
2017-01-03,2017-01-10,2017-01-10,0.1,MT,Citric Acid,E235421,The Netherlands,EU,Moerdijk,COSU27339,r40dm9if826bhyz1ov5v
2018-12-18,2018-12-21,2018-12-21,1151.5,KG,Gelatin,E164938,The Netherlands,APAC,Rotterdam,COQJ46597,xa8mku1gpt49pusrzaeq
2022-06-24,2022-07-29,2022-07-29,400.0,KG,Sugar,E131096,United Kingdom,EU,Bristol,COND39364,oxbe1p5ei7k8evbrx8u7
2018-03-19,2018-03-22,2018-03-22,25.0,KG,Citric Acid,E235421,United Kingdom,EU,Bristol,COBE05528,3nkbf2e6wprlpg7gvlhw
2020-11-18,2020-11-20,2020-11-20,0.013630000000000001,MT,Gelatin,E164938,The Netherlands,APAC,Enschede,COBW10194,xpbrrntylvvld3iia38k
2022-06-15,2022-08-24,2022-08-24,2000.0,KG,Sugar,E131096,United Kingdom,EU,Swansea,COZD36000,0hf36c0ox87czr7xwqf1
2018-11-13,2018-11-16,2018-11-16,1000.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COTZ87281,ttimlytgvkymzlo9lndc
2019-08-01,2019-09-03,2019-09-03,2190.6,KG,Gelatin,E164938,The Netherlands,APAC,Moerdijk,COVQ64536,mb4bldqlq1wmfpt00e2q
2018-06-27,2018-07-02,2018-07-02,250.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COXT40618,mk3uhk6hmrtiehc2yix7
2021-06-15,2021-07-06,2021-07-09,5.0,MT,Gelatin,E164938,France,APAC,Villebon sur Yvette,COBT68936,9pbrtg6c2rra3plcgqll
2017-01-27,2017-01-31,2017-01-31,4700000.0,G,Gelatin,E164938,The Netherlands,APAC,Enschede,CORF15305,x70r3sdudprk5r0pnf3v
2022-09-13,2022-10-24,2022-10-24,5000000.0,G,Citric Acid,E235421,United Kingdom,EU,Bristol,COJZ51242,clhovu5wp8mvu2yettru
2020-07-23,2020-08-17,2020-08-17,10000.0,KG,Citric Acid,E235421,United Kingdom,EU,Swansea,COFE88156,ti7zfztos6gkj71k16y0
2020-01-07,2020-01-20,2020-01-20,50.0,KG,Citric Acid,E235421,United Kingdom,EU,Bristol,CORF88345,upu536lzms804bfpv0v6
2020-12-02,2020-12-18,2020-12-18,50.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COBE79648,443ktx6qcaluk87322hr
2021-02-12,2021-02-16,2021-02-16,68.14999999999999,KG,Gelatin,E164938,The Netherlands,APAC,Moerdijk,COOW67209,5sosc0whs14eci9rtj6u
2019-03-19,2019-03-22,2019-03-22,575.75,KG,Gelatin,E164938,The Netherlands,APAC,Enschede,COJO26899,5a2x54u44qunf57vh2d3
2021-02-08,2021-02-11,2021-02-11,3.0,MT,Citric Acid,E235421,United Kingdom,EU,Swansea,COOM36510,ls11q01yhya0eiva8t49
2019-03-21,2019-03-25,2019-03-25,25.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COLJ00721,lxle0bct324zbl5kzhcm
2018-08-23,2018-08-31,2018-08-31,1151.5,KG,Gelatin,E164938,The Netherlands,APAC,Enschede,COBC87274,z2rno6cysvuhiwzwt994
2017-06-06,2017-06-08,2017-06-08,4700.0,KG,Gelatin,E164938,The Netherlands,APAC,Enschede,CORF15305,pn8qix43irgm5dkoybes
2019-05-28,2019-06-06,2019-06-06,12000.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COFP32992,irq4tp1na6ksnjczobd9
2017-03-15,2017-03-16,2017-03-16,575.75,KG,Gelatin,E164938,The Netherlands,APAC,Rotterdam,COQJ46597,q8wht37oj98byte9afpp
2020-11-10,2020-11-18,2020-11-18,0.5,MT,Citric Acid,E235421,United Kingdom,EU,Swansea,COSB89058,7sdwyqtuv27uubrj174w
2021-11-26,2021-12-09,2021-12-09,1000.0,KG,Citric Acid,E235421,United Kingdom,EU,Swansea,COYN30614,yags1kwqjl8ez31t6erq
2018-11-23,2019-01-07,2019-01-07,0.1,MT,Sugar,E131096,United Kingdom,EU,Swansea,COXG03237,5a8389214311bkhsscrt
2017-03-29,2017-04-03,2017-04-03,575750.0,G,Gelatin,E164938,The Netherlands,APAC,Moerdijk,CODO79682,p08iio1q3dzvwe8g358g
2022-08-17,2022-08-26,2022-08-26,10000.0,KG,Citric Acid,E235421,United Kingdom,EU,Bristol,COBY97709,eejgbjxg56w0mqa1ccyy
2022-05-09,2022-06-17,2022-06-17,2196000.0,G,Gelatin,E164938,The Netherlands,APAC,Rotterdam,COVQ64536,4jufn24xcrwdwf1tqv0r
2018-06-07,2018-06-12,2018-06-12,174.84,KG,Gelatin,E164938,The Netherlands,APAC,Rotterdam,COYP60592,095uhgcrkfkj6xhpd3bg
2018-03-26,2018-03-27,2018-03-27,29.14,KG,Gelatin,E164938,The Netherlands,APAC,Enschede,COBA56438,npyhrfozg7fbv2i6oeuh
2017-03-20,2017-03-21,2017-03-21,0.57575,MT,Gelatin,E164938,The Netherlands,APAC,Moerdijk,COWR84952,8vaqvbdim28aqwd1bqfd
2022-09-12,2022-09-15,2022-09-15,0.57108149,MT,Gelatin,E164938,The Netherlands,APAC,Rotterdam,CORY46361,tnbs5xrga3l71029dg38
2018-01-15,2018-01-29,2018-01-29,75.0,KG,Citric Acid,E235421,United Kingdom,EU,Bristol,COZA07858,rajib931k26gfxamhv1f
2020-05-07,2020-05-14,2020-05-14,1000000.0,G,Citric Acid,E235421,The Netherlands,EU,Moerdijk,COSU27339,070vk32rgwhgxmd7qcq3
2022-02-22,2022-04-14,2022-04-14,2000.0,KG,Sugar,E131096,United Kingdom,EU,Bristol,CORT50764,za8e83mtebdud8t7d2to
2018-08-28,2018-08-30,2018-08-30,58.28,KG,Gelatin,E164938,The Netherlands,APAC,Enschede,COGN15527,1kvtorp59yeq96sjqa0p
2022-11-24,2022-11-28,2022-11-28,0.025,MT,Citric Acid,E235421,The Netherlands,EU,Moerdijk,COLD48931,x99dbk4epbo01717hv0e
2020-03-06,2020-03-10,2020-03-10,575.75,KG,Gelatin,E164938,The Netherlands,APAC,Moerdijk,COLB25278,hlitsj8bfi8ojgzacf0r
2019-05-16,2019-05-27,2019-05-27,1000.0,KG,Citric Acid,E235421,United Kingdom,EU,Bristol,COUO90780,7fa6ahhcasikzoieasu2
2021-11-17,2021-11-23,2021-11-23,250.0,KG,Sugar,E131096,United Kingdom,EU,Bristol,CODE03622,9ee2a84n1w3er70ut100
2019-10-18,2019-11-14,2019-11-14,9000.0,KG,Gelatin,E164938,France,APAC,Sotteville de Rouen,COPM10254,wnt0k9875trjib739syi
2017-10-12,2017-10-18,2017-10-18,0.05,MT,Citric Acid,E235421,United Kingdom,EU,Swansea,COTJ92797,ed48cd5lxtnjs18l9gj4
2017-04-21,2017-05-02,2017-05-02,2.303,MT,Gelatin,E164938,The Netherlands,APAC,Rotterdam,COHQ52650,anliobl7vjuz5pfbce5z
2019-07-01,2019-09-18,2019-09-18,2000.0,KG,Sugar,E131096,United Kingdom,EU,Swansea,COZD36000,3ztds7xsv18f6ftscjle
2020-06-17,2020-06-19,2020-06-19,575.75,KG,Gelatin,E164938,The Netherlands,APAC,Rotterdam,COXS62219,i6wgl8i9akfd18tlty7w
2022-04-07,2022-04-14,2022-04-14,250.0,KG,Citric Acid,E235421,United Kingdom,EU,Bristol,COFT23819,29max6ebqgbpadusqb00
2022-02-03,2022-03-31,2022-03-31,7.0,MT,Gelatin,E164938,France,APAC,Tournan en Brie,COSQ41402,g9e07pmexjtnrp1i3661
2018-01-10,2018-01-12,2018-01-13,3000.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COJV02648,l08kgfp94k3awlar0wh0
2018-02-07,2018-02-09,2018-02-09,0.57575,MT,Gelatin,E164938,The Netherlands,APAC,Rotterdam,COQJ46597,rfiuprog710eq8o9s4zn
2018-03-13,2018-03-16,2018-03-16,500.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COBV63024,mzofe98wp94p4jwr3xux
2018-05-14,2018-05-31,2018-06-01,3500.0,KG,Citric Acid,E235421,The Netherlands,EU,Enschede,COKB21403,nb9dssrkfi53llp0nfdd
2020-03-30,2020-04-08,2020-04-08,1000.0,KG,Sugar,E131096,United Kingdom,EU,Swansea,COOJ06899,2pj0mmug8xjk31dzrhtt
2022-03-10,2022-03-18,2022-03-18,200.0,KG,Sugar,E131096,United Kingdom,EU,Lutterworth,COKL04503,qayiiy2s530tj2t9o5a4
2020-09-23,2020-09-28,2020-09-30,200.0,KG,Citric Acid,E235421,The Netherlands,EU,Enschede,COSK06373,39gf5lxk2g5eol0ta8rd
2021-08-05,2021-08-30,2021-08-31,1.0,MT,Citric Acid,E235421,The Netherlands,EU,Rotterdam,COVP73844,05n9hczdq3w6bdj7h7re
2017-06-09,2017-06-14,2017-06-14,50.0,KG,Sugar,E131096,United Kingdom,EU,Bristol,COST01376,dy0vqxo2dwn717yw1bsd
2018-03-19,2018-03-22,2018-03-22,1100.0,KG,Citric Acid,E235421,United Kingdom,EU,Bristol,COWY45551,x4w3lnaehpitza7uy4sa
2022-09-05,2022-09-08,2022-09-08,2000.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COJT91079,eq1zq8daydw9f6y5v9jr
2018-03-15,2018-03-27,2018-03-27,1000000.0,G,Citric Acid,E235421,United Kingdom,EU,Bristol,COCG53363,ehmiqp56a2tyznm5saxy
2022-02-01,2022-02-11,2022-02-12,3000000.0,G,Citric Acid,E235421,United Kingdom,EU,Lutterworth,CORU86153,k2e58f3ob9v1t4jxa2ym
2022-03-07,2022-03-10,2022-03-10,2000.0,KG,Citric Acid,E235421,United Kingdom,EU,Swansea,COGE44494,pyi46n05fl0463na7hn9
2022-03-16,2022-03-25,2022-03-25,25.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COVF09263,8x16f4zzw5uk4sha60v3
2017-03-30,2017-04-04,2017-04-04,150.0,KG,Sugar,E131096,United Kingdom,EU,Bristol,COBE72816,3lifncrn3tnkziy75itd
2020-05-13,2020-06-23,2020-06-23,1000.0,KG,Citric Acid,E235421,The Netherlands,EU,Moerdijk,COPN12688,l35jrj9r3vp8lim06etc
2022-10-18,2022-11-04,2022-11-04,1000.0,KG,Citric Acid,E235421,United Kingdom,EU,Swansea,CODQ01068,qr3ev1rdnf4x13qinf2p
2017-01-10,2017-01-13,2017-01-13,1000.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COPB70722,091pqfmpah3qn21r91r0
2018-08-24,2018-08-31,2018-09-01,3000.0,KG,Citric Acid,E235421,United Kingdom,EU,Bristol,CORU86153,hrliagp34slqgbul1ot9
2020-03-09,2020-03-23,2020-03-23,1000.0,KG,Citric Acid,E235421,The Netherlands,EU,Rotterdam,COPN12688,6gskbojaxnhrc4hm08op
2018-11-30,2018-12-11,2018-12-11,600.0,KG,Gelatin,E164938,France,APAC,Villebon sur Yvette,CORW37630,evhtz4voybj7soygy21j
2017-11-06,2017-11-24,2017-11-24,1095300.0,G,Gelatin,E164938,The Netherlands,APAC,Rotterdam,COLN23384,mas41ru08l4pjagxlq0s
2017-01-11,2017-05-15,2017-05-15,6200.0,KG,Gelatin,E164938,The Netherlands,APAC,Moerdijk,COMJ86490,5rmjpcza3sfgho4qhcg7
2019-09-30,2019-10-02,2019-10-02,4700.0,KG,Gelatin,E164938,The Netherlands,APAC,Enschede,CORF15305,fd143xrv8df2f5nk4otb
2019-08-14,2019-08-22,2019-08-22,547.65,KG,Gelatin,E164938,The Netherlands,APAC,Enschede,COQW13734,gdpuh4gbgo8utd9jyj3c
2020-08-13,2020-11-10,2020-11-13,10000.0,KG,Sugar,E131096,France,EU,Sotteville de Rouen,COQM96109,t5q5173c7q25y7khg4g7
2018-06-11,2018-06-14,2018-06-14,547.65,KG,Gelatin,E164938,The Netherlands,APAC,Rotterdam,CORQ92002,nie3fkp96aiu01lc5ww9
2020-01-20,2020-01-28,2020-01-28,100000.0,G,Citric Acid,E235421,United Kingdom,EU,Bristol,COXA68575,lzhvez9rtd6enmb9upep
2020-11-10,2021-01-13,2021-01-13,9000.0,KG,Gelatin,E164938,France,APAC,Villebon sur Yvette,COPM10254,polg5tk9vj0va0stka09
2019-11-29,2019-12-10,2019-12-10,10000.0,KG,Sugar,E131096,United Kingdom,EU,Bristol,COPI28073,14abazd84vf16185ibju
2019-02-20,2019-02-27,2019-02-27,150.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COZC09255,bi6mghagmb362m9e5iml
2018-05-02,2018-05-08,2018-05-08,500.0,KG,Sugar,E131096,United Kingdom,EU,Swansea,COOK78504,z6iostuzhg1gf4ofpatm
2018-10-04,2018-10-15,2018-10-15,75.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,CONL28222,0txe321d5c21o6ww8eir
2018-04-05,2018-04-10,2018-04-10,10000.0,KG,Citric Acid,E235421,United Kingdom,EU,Bristol,COCH74792,hrlnf6nv5xu6m9deocir
2018-07-18,2018-07-19,2018-07-19,575.75,KG,Gelatin,E164938,The Netherlands,APAC,Enschede,COQJ46597,io74jlys7jd6z6pq1auf
2020-01-15,2020-02-03,2020-02-03,0.5,MT,Sugar,E131096,United Kingdom,EU,Lutterworth,COTJ47127,0tj5jgzcy4mljzfudi4s
2019-09-20,2019-10-04,2019-10-04,250.0,KG,Citric Acid,E235421,United Kingdom,EU,Swansea,COWJ35966,p7qfq9n04fdtzj2l72v0
2020-02-28,2020-03-05,2020-03-05,575.75,KG,Gelatin,E164938,The Netherlands,APAC,Moerdijk,CORF15305,8ktrpw3hhigvummwcmzx
2019-09-09,2019-09-17,2019-09-18,5.0,MT,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COLK58157,8j5ms20t3t9lp2e2asoe
2018-03-28,2018-03-30,2018-03-30,218550.0,G,Gelatin,E164938,The Netherlands,APAC,Rotterdam,COKP12230,vgkh250cvgfgm1tm27o1
2020-11-18,2020-11-24,2020-11-24,1000.0,KG,Citric Acid,E235421,United Kingdom,EU,Swansea,COKZ56788,9qtg15xd82ijkuv2vxo3
2022-06-13,2022-06-15,2022-06-15,1146800.0,G,Gelatin,E164938,The Netherlands,APAC,Enschede,COAD25971,peoj3m48ngc4xaic0dhn
